"Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Year,Month,MonthYear"
"503613,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-04-06 11:06:00,2.95,12997,United Kingdom,2.95,2010,2010-04,2010-04-01"
"514004,84839,SWEETHEART KEY CABINET,2,2010-06-30 09:37:00,6.75,14156,EIRE,13.5,2010,2010-06,2010-06-01"
"502509,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-03-25 11:23:00,7.95,16554,United Kingdom,31.8,2010,2010-03,2010-03-01"
"493813,22114,HOT WATER BOTTLE TEA AND SYMPATHY,9,2010-01-07 11:53:00,3.95,14051,United Kingdom,35.550000000000004,2010,2010-01,2010-01-01"
"505009,22090,PAPER BUNTING RETRO SPOTS,12,2010-04-19 13:03:00,2.95,16843,United Kingdom,35.400000000000006,2010,2010-04,2010-04-01"
"525030,22383,LUNCH BAG SUKI  DESIGN,7,2010-10-03 12:18:00,1.65,15351,United Kingdom,11.55,2010,2010-10,2010-10-01"
"508858,22583,PACK OF 6 HANDBAG GIFT BOXES,1,2010-05-18 15:30:00,2.55,17920,United Kingdom,2.55,2010,2010-05,2010-05-01"
"522431,21868,POTTING SHED TEA MUG,12,2010-09-14 13:32:00,1.25,17534,United Kingdom,15.0,2010,2010-09,2010-09-01"
"529818,10125,MINI FUNKY DESIGN TAPES,1,2010-10-31 11:22:00,0.85,14087,United Kingdom,0.85,2010,2010-10,2010-10-01"
"509428,20982,12 PENCILS TALL TUBE SKULLS,2,2010-05-23 14:04:00,0.85,16549,United Kingdom,1.7,2010,2010-05,2010-05-01"
"518902,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,2010-08-12 14:15:00,0.85,14461,United Kingdom,10.2,2010,2010-08,2010-08-01"
"523229,22616,PACK OF 12 LONDON TISSUES,504,2010-09-21 10:55:00,0.29,17381,United Kingdom,146.16,2010,2010-09,2010-09-01"
"513336,22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,20,2010-06-24 09:51:00,0.85,12705,Germany,17.0,2010,2010-06,2010-06-01"
